"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10090025","VT",500019601003071,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,"50001960100"
"10090026","VT",500019601003072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090027","VT",500019601003073,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,"50001960100"
"10090028","VT",500019601003074,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,"50001960100"
"10090029","VT",500019601003075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090030","VT",500019601003076,19,19,19,19,19,19,19,19,40,40,40,40,40,40,40,40,18,18,18,18,18,18,18,18,"50001960100"
"10090031","VT",500019601003077,10,10,10,10,11,11,12,12,22,22,22,22,22,22,22,22,9,9,9,9,9.9,9.9,10.8,10.8,"50001960100"
"10090032","VT",500019601003078,13,13,13,13,13,13,13,13,38,38,38,38,38,38,38,38,13,13,13,13,13,13,13,13,"50001960100"
"10090033","VT",500019601003079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090034","VT",500019601003080,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,"50001960100"
"10090035","VT",500019601003081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090036","VT",500019601003082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090037","VT",500019601003083,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,"50001960100"
"10090038","VT",500019601003084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090039","VT",500019601003085,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,"50001960100"
"10090040","VT",500019601003086,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,"50001960100"
"10090041","VT",500019601003087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090042","VT",500019601003088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090043","VT",500019601003089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10090044","VT",500019602001000,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,9,5,5,5,5,5,5,5,5,"50001960200"
"10090045","VT",500019602001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960200"
"10090046","VT",500019602001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960200"
"10090047","VT",500019602001003,30,31,31,31,31,32,32,33,67,67,66,66,66,66,66,66,28,28.9333,28.9333,28.9333,28.9333,29.8666,29.8666,30.7999,"50001960200"
"10090048","VT",500019602001004,19,19,19,19,19,19,19,19,40,40,40,40,40,40,40,40,18,18,18,18,18,18,18,18,"50001960200"
